rect148s1:[489, 202] [559, 199]
rect148s2:[336, 192] [336, 343]
rect148s3:[488, 244] [559, 244]
rect148s4:[488, 201] [488, 351]
rect149s1:[489, 202] [559, 199]
rect149s2:[488, 201] [488, 351]
rect149s3:[336, 243] [407, 244]
rect149s4:[695, 192] [695, 351]
rect150s1:[344, 199] [406, 198]
rect150s2:[488, 201] [488, 351]
rect150s3:[488, 244] [559, 244]
rect150s4:[695, 192] [695, 351]
rect151s1:[640, 244] [702, 243]
rect151s2:[488, 201] [488, 351]
rect151s3:[489, 202] [559, 199]
rect151s4:[695, 192] [695, 351]
rect152s1:[640, 244] [702, 243]
rect152s2:[784, 192] [784, 351]
rect152s3:[489, 202] [559, 199]
rect152s4:[488, 201] [488, 351]
rect153s1:[489, 202] [559, 199]
rect153s2:[488, 201] [488, 351]
rect153s3:[784, 242] [855, 244]
rect153s4:[847, 192] [847, 351]
rect154s1:[640, 244] [702, 243]
rect154s2:[641, 200] [641, 351]
rect154s3:[489, 202] [559, 199]
rect154s4:[847, 192] [847, 351]
rect155s1:[640, 244] [702, 243]
rect155s2:[544, 192] [544, 351]
rect155s3:[640, 203] [702, 204]
rect155s4:[847, 192] [847, 351]
rect156s1:[784, 242] [855, 244]
rect156s2:[784, 192] [784, 351]
rect156s3:[640, 203] [702, 204]
rect156s4:[544, 192] [544, 351]
rect157s1:[489, 202] [559, 199]
rect157s2:[641, 200] [641, 351]
rect157s3:[784, 242] [855, 244]
rect157s4:[847, 192] [847, 351]
rect158s1:[640, 244] [702, 243]
rect158s2:[544, 192] [544, 351]
rect158s3:[784, 201] [855, 202]
rect158s4:[847, 192] [847, 351]
rect159s1:[784, 242] [855, 244]
rect159s2:[544, 192] [544, 351]
rect159s3:[640, 203] [702, 204]
rect159s4:[847, 192] [847, 351]
rect160s1:[489, 202] [559, 199]
rect160s2:[934, 193] [934, 349]
rect160s3:[784, 242] [855, 244]
rect160s4:[641, 200] [641, 351]
rect161s1:[784, 242] [855, 244]
rect161s2:[934, 193] [934, 349]
rect161s3:[640, 203] [702, 204]
rect161s4:[544, 192] [544, 351]
rect162s1:[936, 243] [1007, 244]
rect162s2:[544, 192] [544, 351]
rect162s3:[640, 203] [702, 204]
rect162s4:[847, 192] [847, 351]
rect163s1:[936, 199] [1007, 201]
rect163s2:[784, 192] [784, 351]
rect163s3:[640, 244] [702, 243]
rect163s4:[641, 200] [641, 351]
rect164s1:[640, 244] [702, 243]
rect164s2:[934, 193] [934, 349]
rect164s3:[784, 201] [855, 202]
rect164s4:[641, 200] [641, 351]
rect165s1:[784, 201] [855, 202]
rect165s2:[784, 192] [784, 351]
rect165s3:[784, 242] [855, 244]
rect165s4:[641, 200] [641, 351]
rect166s1:[936, 199] [1007, 201]
rect166s2:[641, 200] [641, 351]
rect166s3:[640, 244] [702, 243]
rect166s4:[847, 192] [847, 351]
rect167s1:[936, 199] [1007, 201]
rect167s2:[934, 193] [934, 349]
rect167s3:[640, 244] [702, 243]
rect167s4:[641, 200] [641, 351]
rect168s1:[936, 199] [1007, 201]
rect168s2:[641, 200] [641, 351]
rect168s3:[784, 242] [855, 244]
rect168s4:[847, 192] [847, 351]
rect169s1:[936, 243] [1007, 244]
rect169s2:[934, 193] [934, 349]
rect169s3:[784, 201] [855, 202]
rect169s4:[641, 200] [641, 351]
rect170s1:[936, 199] [1007, 201]
rect170s2:[934, 193] [934, 349]
rect170s3:[784, 242] [855, 244]
rect170s4:[641, 200] [641, 351]
rect171s1:[936, 199] [1007, 201]
rect171s2:[1000, 200] [1000, 351]
rect171s3:[784, 242] [855, 244]
rect171s4:[695, 192] [695, 351]
rect172s1:[936, 199] [1007, 201]
rect172s2:[784, 192] [784, 351]
rect172s3:[784, 242] [855, 244]
rect172s4:[1000, 200] [1000, 351]
rect173s1:[1088, 242] [1151, 241]
rect173s2:[1000, 200] [1000, 351]
rect173s3:[784, 201] [855, 202]
rect173s4:[695, 192] [695, 351]
rect174s1:[1088, 242] [1151, 241]
rect174s2:[784, 192] [784, 351]
rect174s3:[784, 201] [855, 202]
rect174s4:[1000, 200] [1000, 351]
rect175s1:[936, 199] [1007, 201]
rect175s2:[784, 192] [784, 351]
rect175s3:[1088, 242] [1151, 241]
rect175s4:[1000, 200] [1000, 351]
rect176s1:[936, 199] [1007, 201]
rect176s2:[1000, 200] [1000, 351]
rect176s3:[1088, 242] [1151, 241]
rect176s4:[847, 192] [847, 351]
rect177s1:[936, 199] [1007, 201]
rect177s2:[1144, 192] [1144, 351]
rect177s3:[1088, 242] [1151, 241]
rect177s4:[1000, 200] [1000, 351]
rect178s1:[489, 202] [559, 199]
rect178s2:[488, 201] [488, 351]
rect178s3:[336, 243] [407, 244]
rect178s4:[641, 200] [641, 351]
rect179s1:[344, 199] [406, 198]
rect179s2:[488, 201] [488, 351]
rect179s3:[488, 244] [559, 244]
rect179s4:[641, 200] [641, 351]
rect180s1:[336, 243] [407, 244]
rect180s2:[784, 192] [784, 351]
